"timestamp","minute","created_at","district","province","location","weather_main","weather_description","main.temp","main.temp_min","main.temp_max","main.feels_like","main.pressure","main.humidity","main.sea_level","main.grnd_level","visibility","wind.speed","wind.deg","longtitude","latitude","components_co","components_no","components_no2","components_o3","components_so2","components_pm2_5","components_pm10","components_nh3"
"2025-04-30 02:51:12.956647000",51,"2025-04-29 20:09:12.956635000","Mueang Chon Buri","Chon Buri","Chon Buri","Clouds","overcast clouds",33.99,32.81,35.03,40.99,1010,83,1010,1005,10000,1.51,235,100.9835,13.3622,147.93,0.11,0.69,44.65,0.71,3.23,4.55,0.13
"2025-04-30 02:51:13.820959000",51,"2025-04-29 20:09:13.820914000","Ban Bueng","Chon Buri","Ban Bueng","Clouds","overcast clouds",33.61,32.42,34.64,40.61,1011,86,1011,1001,10000,0.43,115,101.1121,13.311,157.69,0.1,0.67,46.3,0.6,2.77,3.79,0.19
"2025-04-30 02:51:14.347204000",51,"2025-04-29 20:09:14.347192000","Nong Yai","Chon Buri","Nong Yai","Clouds","overcast clouds",33.77,32.78,33.86,40.77,1011,63,1011,1000,10000,1.85,78,101.3747,13.1177,166.15,0.06,0.48,47.82,0.31,2.08,2.68,0.15
"2025-04-30 02:51:14.808326000",51,"2025-04-29 20:09:14.808314000","Bang Lamung","Chon Buri","Bang Lamung","Clouds","overcast clouds",34.55,34.36,34.55,41.55,1011,62,1011,1004,10000,0.84,266,100.9289,13.047,144.07,0.11,0.71,41.54,0.64,3,4.42,0.02
"2025-04-30 02:51:15.422259000",51,"2025-04-29 20:09:15.422236000","Phan Thong","Chon Buri","Phan Thong","Clouds","overcast clouds",33.98,32.84,35.06,40.98,1010,95,1010,1007,10000,0.84,208,101.0953,13.468,160.25,0.11,0.75,47.93,0.72,3,4.02,0.3
"2025-04-30 02:51:15.785236000",51,"2025-04-29 20:09:15.785224000","Phanat Nikhom","Chon Buri","Phanat Nikhom","Clouds","overcast clouds",34.71,34.06,35,41.71,1010,100,1010,1006,10000,1.04,101,101.1845,13.4458,160.25,0.11,0.75,47.93,0.72,3,4.02,0.3
"2025-04-30 02:51:16.153789000",51,"2025-04-29 20:09:16.153768000","Si Racha","Chon Buri","Si Racha","Clouds","broken clouds",34.35,32.8,35.02,40.66,1009,54,1009,1003,10000,1.12,268,100.9311,13.1737,144.07,0.11,0.71,41.54,0.64,3,4.42,0.02
"2025-04-30 02:51:16.534295000",51,"2025-04-29 20:09:16.534282000","Ko Si Chang","Chon Buri","Ko Si Chang","Clouds","broken clouds",30.18,30.18,30.18,37.18,1011,80,1011,1009,10000,0.99,243,100.8116,13.1529,144.07,0.11,0.71,41.54,0.64,3,4.42,0.02
"2025-04-30 02:51:16.921444000",51,"2025-04-29 20:09:16.921433000","Sattahip","Chon Buri","Sattahip","Rain","light rain",29.05,29.05,29.05,36.05,1011,94,1011,1008,10000,1.03,0,100.9007,12.6664,142.1,0.06,0.33,36.39,0.34,2.37,3.64,0.06
"2025-04-30 02:51:17.758485000",51,"2025-04-29 20:09:17.758474000","Bo Thong","Chon Buri","Bo Thong","Clouds","overcast clouds",33.62,32.75,33.62,40.62,1011,100,1011,999,10000,1.21,51,101.5086,13.2423,177.15,0.07,0.63,49.61,0.37,1.84,2.25,0.31
"2025-04-30 02:51:18.245383000",51,"2025-04-29 20:09:18.245369000","Ko Chan","Chon Buri","Ko Chan","Clouds","overcast clouds",33.03,33.03,33.9,40.03,1010,78,1010,1004,10000,2.15,82,101.388,13.4025,168.7,0.11,0.82,48.09,0.66,2.53,3.36,0.35
"2025-04-30 02:51:18.707716000",51,"2025-04-29 20:09:18.707698000","Mueang Rayong","Rayong","Ban Khai","Clouds","overcast clouds",31.52,30.97,32.08,38.52,1011,83,1011,1005,10000,1.38,103,101.3449,12.7186,156.22,0.04,0.25,44.87,0.18,2.02,2.58,0.14
"2025-04-30 02:51:19.279536000",51,"2025-04-29 20:09:19.279524000","Ban Chang","Rayong","Ban Chang","Clouds","few clouds",29.77,29.77,31.93,36.77,1011,94,1011,1004,10000,1.03,0,101.0553,12.7254,149.16,0.05,0.29,40.63,0.26,2.2,3.11,0.1
"2025-04-30 02:51:19.818218000",51,"2025-04-29 20:09:19.818190000","Klaeng","Rayong","Klaeng","Clouds","broken clouds",31.97,31.97,31.97,38.59,1010,65,1010,1006,10000,0.67,81,101.6567,12.7718,161.02,0.03,0.27,47.71,0.14,2.02,2.28,0.17
"2025-04-30 02:51:20.216278000",51,"2025-04-29 20:09:20.216212000","Wang Chan","Rayong","Wang Chan","Clouds","broken clouds",31.78,31.78,31.78,37.46,1011,63,1011,1002,10000,1.14,64,101.523,12.9365,170.22,0.03,0.29,50.03,0.12,1.73,1.94,0.2
"2025-04-30 02:51:20.592134000",51,"2025-04-29 20:09:20.592122000","Ban Khai","Rayong","Ban Khai","Clouds","overcast clouds",31.41,30.85,34.1,37.46,1011,66,1011,1003,10000,1.61,100,101.3421,12.8383,161.18,0.05,0.37,46.34,0.24,2.05,2.63,0.14
"2025-04-30 02:51:20.967385000",51,"2025-04-29 20:09:20.967372000","Pluak Daeng","Rayong","Pluak Daeng","Clouds","overcast clouds",34.02,34.02,34.2,40.62,1011,56,1011,1000,10000,1.61,93,101.25,12.9833,161.18,0.05,0.37,46.34,0.24,2.05,2.63,0.14
"2025-04-30 02:51:21.350778000",51,"2025-04-29 20:09:21.350729000","Khao Chamao","Rayong","Khao Chamao","Clouds","broken clouds",31.95,31.95,31.95,37.26,1011,61,1011,999,10000,1.2,53,101.685,12.975,167.27,0.03,0.35,49.33,0.18,2.02,2.29,0.2
"2025-04-30 02:51:21.718872000",51,"2025-04-29 20:09:21.718860000","Nikhom Phatthana","Rayong","Phatthana Nikhom","Clouds","scattered clouds",34.94,33.7,34.94,39.77,1010,48,1010,1001,10000,1.45,200,101.0267,14.9092,2988.54,25.33,56.84,84.4,28.47,143.62,215.3,19.56
"2025-04-30 02:51:22.086056000",51,"2025-04-29 20:09:22.086023000","Mueang Chanthaburi","Chanthaburi","Chanthaburi","Clouds","broken clouds",32.72,32.72,32.72,39.72,1010,63,1010,1007,10000,0.66,312,102.1045,12.6096,156.51,0.03,0.4,44.93,0.24,2.38,2.73,0.17
"2025-04-30 02:51:22.508206000",51,"2025-04-29 20:09:22.508141000","Khlung","Chanthaburi","Khlung","Clouds","broken clouds",32.93,32.93,32.93,39.93,1010,63,1010,1002,10000,0.4,18,102.3078,12.5725,159.15,0.02,0.24,43.3,0.15,2.75,3.03,0.16
"2025-04-30 02:51:22.957950000",51,"2025-04-29 20:09:22.957934000","Tha Mai","Chanthaburi","Tha Mai","Clouds","broken clouds",32.32,32.32,32.32,39.17,1010,64,1010,1008,10000,0.91,315,102.0048,12.6214,156.51,0.03,0.4,44.93,0.24,2.38,2.73,0.17
"2025-04-30 02:51:23.423228000",51,"2025-04-29 20:09:23.423209000","Pong Nam Ron","Chanthaburi","Pong Nam Ron","Clouds","broken clouds",31.77,31.77,31.77,35.17,1011,55,1011,975,10000,1.29,30,102.3719,12.9347,173.75,0.03,0.38,49.64,0.24,3.1,3.42,0.25
"2025-04-30 02:51:23.867279000",51,"2025-04-29 20:09:23.867267000","Makham","Chanthaburi","Makham","Clouds","scattered clouds",32.96,32.96,32.96,38.38,1010,57,1010,998,10000,0.54,5,102.2167,12.7333,166.45,0.02,0.31,46.47,0.19,2.93,3.23,0.2
"2025-04-30 02:51:24.296224000",51,"2025-04-29 20:09:24.296212000","Laem Sing","Chanthaburi","Laem Sing","Clouds","overcast clouds",32.34,32.34,32.34,39.34,1011,70,1011,1009,10000,0.93,322,102.0738,12.4816,151.65,0.03,0.33,41.94,0.2,2.15,2.47,0.14
"2025-04-30 02:51:24.688349000",51,"2025-04-29 20:09:24.688338000","Soi Dao","Chanthaburi","Soi Dao","Clouds","overcast clouds",31.59,31.59,31.59,34.32,1011,53,1011,981,10000,1.58,16,102.228,13.1703,181.04,0.03,0.44,52.81,0.28,3.28,3.62,0.29
"2025-04-30 02:51:25.047556000",51,"2025-04-29 20:09:25.047542000","Kaeng Hang Maeo","Chanthaburi","Kaeng Hang Maeo","Clouds","overcast clouds",31.9,31.9,31.9,35.7,1010,56,1010,993,10000,0.79,30,101.8854,13.0969,169.87,0.03,0.47,50.92,0.27,2.43,2.77,0.22
"2025-04-30 02:51:25.453492000",51,"2025-04-29 20:09:25.453463000","Na Yai Am","Chanthaburi","Na Yai Am","Clouds","broken clouds",32.21,32.21,32.21,38.54,1010,63,1010,1008,10000,0.45,357,101.875,12.7383,158.76,0.03,0.33,46.32,0.19,2.2,2.5,0.17
"2025-04-30 02:51:25.832846000",51,"2025-04-29 20:09:25.832819000","Khao Khitchakut","Chanthaburi","Chanthaburi","Clouds","broken clouds",30.85,30.85,30.85,33.83,1011,57,1011,984,10000,0.55,5,102.0976,12.9373,161.36,0.03,0.46,47.91,0.29,2.6,2.99,0.19
"2025-04-30 02:51:26.193839000",51,"2025-04-29 20:09:26.193788000","Mueang Trat","Tart","Trat","Clouds","broken clouds",33.32,33.32,33.32,40.32,1010,60,1010,999,10000,1.02,317,102.6095,12.2667,167.43,0.01,0.08,44.83,0.08,3.77,4,0.18
"2025-04-30 02:51:26.566145000",51,"2025-04-29 20:09:26.566134000","Khlong Yai","Tart","Khlong Yai","Clouds","broken clouds",31.56,31.56,31.56,37.53,1011,65,1011,996,10000,1.62,216,102.826,11.8554,164.77,0.02,0.09,42.72,0.11,5.04,5.29,0.2
"2025-04-30 02:51:26.943174000",51,"2025-04-29 20:09:26.943161000","Khao Saming","Tart","Khao Saming","Clouds","broken clouds",31.05,31.05,31.05,36.56,1010,66,1010,1010,10000,0.56,351,102.4178,12.4289,166.67,0.02,0.16,44.65,0.11,3.35,3.6,0.17
"2025-04-30 02:51:27.305256000",51,"2025-04-29 20:09:27.305244000","Bo Rai","Tart","Bo Rai","Clouds","overcast clouds",32.59,32.59,32.59,39.59,1011,65,1011,994,10000,0.74,8,102.5371,12.5728,166.67,0.02,0.16,44.65,0.11,3.35,3.6,0.17
"2025-04-30 02:51:27.766346000",51,"2025-04-29 20:09:27.766334000","Laem Ngop","Tart","Laem Ngop","Clouds","few clouds",31.06,31.06,31.06,38.06,1010,79,1010,1012,7000,1.03,60,102.3656,12.2203,153.95,0.03,0.22,42.45,0.16,2.68,3.1,0.14
"2025-04-30 02:51:28.150266000",51,"2025-04-29 20:09:28.150254000","Ko Kut","Tart","Khlong Yai","Clouds","broken clouds",30.16,30.16,30.16,35.94,1011,72,1011,1011,10000,2.02,110,102.5669,11.6571,145.31,0.03,0.14,41.71,0.16,2.89,3.53,0.13
"2025-04-30 02:51:28.524384000",51,"2025-04-29 20:09:28.524371000","Ko Chang","Tart","Ko Chang Tai","Clouds","overcast clouds",31.69,31.69,31.69,38.69,1011,75,1011,1011,10000,1.01,66,102.3727,12.0017,148.73,0.03,0.2,41.6,0.16,2.6,3.17,0.13
"2025-04-30 02:51:28.966675000",51,"2025-04-29 20:09:28.966640000","Mueang Chachoengsao","Chachoengsao","Chachoengsao","Clouds","broken clouds",34.46,32,34.46,41.46,1010,61,1010,1010,10000,0.19,16,101.0215,13.7176,162.82,0.13,0.82,49.55,0.84,3.23,4.26,0.4
"2025-04-30 02:51:29.363015000",51,"2025-04-29 20:09:29.363003000","Bang Khla","Chachoengsao","Bang Khla","Clouds","overcast clouds",32.94,32.94,32.94,39.37,1010,60,1010,1009,10000,1.03,49,101.2081,13.7214,169.97,0.14,0.98,48.23,0.83,2.76,3.69,0.45
"2025-04-30 02:51:29.720835000",51,"2025-04-29 20:09:29.720823000","Bang Nam Priao","Chachoengsao","Bang Nam Priao","Clouds","broken clouds",33.23,33.23,33.23,40.11,1010,60,1010,1009,10000,0.88,7,101.0531,13.8474,217.52,0.36,2.73,53.53,1.82,5.1,7.31,1.39
"2025-04-30 02:51:30.079988000",51,"2025-04-29 20:09:30.079976000","Bang Pakong","Chachoengsao","Bang Pakong","Clouds","broken clouds",34.43,32.84,35.06,41.43,1010,67,1010,1009,10000,1.81,220,100.9605,13.5324,151.8,0.12,0.67,47.76,0.79,3.46,4.68,0.24
"2025-04-30 02:51:30.434818000",51,"2025-04-29 20:09:30.434806000","Ban Pho","Chachoengsao","Ban Pho","Clouds","overcast clouds",34.37,32.84,35.06,41.37,1010,61,1010,1010,10000,0.23,178,101.0784,13.61,162.82,0.13,0.82,49.55,0.84,3.23,4.26,0.4
"2025-04-30 02:51:30.830777000",51,"2025-04-29 20:09:30.830765000","Phanom Sarakham","Chachoengsao","Phanom Sarakham","Clouds","overcast clouds",32.69,32.69,32.69,38.4,1010,59,1010,1008,10000,1.23,61,101.412,13.7381,177.1,0.14,1.14,46.91,0.81,2.29,3.13,0.5
"2025-04-30 02:51:31.215166000",51,"2025-04-29 20:09:31.215153000","Ratchasan","Chachoengsao","Ratchasan","Clouds","overcast clouds",33.01,33.01,33.01,39.19,1010,59,1010,1009,10000,1.1,41,101.2814,13.7866,169.97,0.14,0.98,48.23,0.83,2.76,3.69,0.45
"2025-04-30 02:51:31.564895000",51,"2025-04-29 20:09:31.564884000","Sanam Chai Khet","Chachoengsao","Tha Takiap","Clouds","overcast clouds",32.49,32.49,32.49,38.24,1011,60,1011,1003,10000,0.82,38,101.6548,13.6261,216.27,0.14,2.29,51.49,1.19,3.35,4.01,0.64
"2025-04-30 02:51:31.957544000",51,"2025-04-29 20:09:31.957533000","Plaeng Yao","Chachoengsao","Plaeng Yao","Clouds","overcast clouds",33.07,33.07,33.93,40.07,1010,62,1010,1007,10000,1.92,79,101.3397,13.5638,168.7,0.11,0.82,48.09,0.66,2.53,3.36,0.35
"2025-04-30 02:51:32.337437000",51,"2025-04-29 20:09:32.337414000","Tha Takiap","Chachoengsao","Tha Takiap","Clouds","overcast clouds",32.23,32.23,32.23,37,1011,58,1011,996,10000,1.01,9,101.7346,13.3951,187.79,0.07,1.04,51.12,0.54,2.47,2.86,0.36
"2025-04-30 02:51:32.743177000",51,"2025-04-29 20:09:32.743166000","Khlong Khuean","Chachoengsao","Khlong Khuean","Clouds","broken clouds",33.1,33.1,33.1,39.77,1010,60,1010,1010,10000,0.93,28,101.1635,13.7913,162.82,0.13,0.82,49.55,0.84,3.23,4.26,0.4
"2025-04-30 02:51:33.109763000",51,"2025-04-29 20:09:33.109742000","Mueang Prachin Buri","Prachin Buri","Prachin Buri","Clear","clear sky",33.4,33.4,33.4,38.74,1010,55,1010,1008,10000,0.48,292,101.3686,14.0499,273.07,0.69,5.13,54.93,3,5.87,9.25,2.15
"2025-04-30 02:51:33.475764000",51,"2025-04-29 20:09:33.475745000","Kabin Buri","Prachin Buri","Kabin Buri","Clouds","overcast clouds",33.05,33.05,33.05,37.93,1010,55,1010,1010,10000,0.52,58,101.7177,13.9511,273.04,0.67,4.21,48.77,2.06,5.52,7.66,2.42
"2025-04-30 02:51:33.836941000",51,"2025-04-29 20:09:33.836930000","Na Di","Prachin Buri","Na Di","Clouds","overcast clouds",33.27,33.27,33.27,37.77,1011,53,1011,996,10000,0.96,143,101.7819,14.1152,329.7,1.2,6.13,46.04,2.93,7.7,11.31,4.2
"2025-04-30 02:51:34.193183000",51,"2025-04-29 20:09:34.193172000","Ban Sang","Prachin Buri","Ban Sang","Clouds","scattered clouds",33.31,33.31,33.31,39.22,1010,57,1010,1009,10000,0.9,354,101.2506,13.9501,221.49,0.41,3.05,51.57,1.92,4.31,6.47,1.3
"2025-04-30 02:51:34.676653000",51,"2025-04-29 20:09:34.676628000","Prachantakham","Prachin Buri","Prachin Buri","Clouds","broken clouds",31.54,31.54,31.54,33.99,1011,52,1011,970,10000,1.64,156,101.5744,14.2281,322.33,1.11,7.84,55.06,4.42,6.01,10.64,2.62
"2025-04-30 02:51:35.099252000",51,"2025-04-29 20:09:35.099231000","Si Maha Phot","Prachin Buri","Si Maha Phot","Clouds","broken clouds",33,33,33,38.47,1010,57,1010,1012,10000,0.73,43,101.5418,13.8904,225.46,0.46,3.37,49.62,2.02,3.53,5.63,1.21
"2025-04-30 02:51:35.515816000",51,"2025-04-29 20:09:35.515802000","Si Mahosot","Prachin Buri","Si Mahosot","Clouds","broken clouds",33.09,33.09,33.09,38.69,1010,57,1010,1011,10000,0.88,29,101.425,13.8767,225.46,0.46,3.37,49.62,2.02,3.53,5.63,1.21
"2025-04-30 02:51:35.888229000",51,"2025-04-29 20:09:35.888216000","Mueang Nakhon Nayok","Nakhon Nayok","Nakhon Nayok","Clouds","broken clouds",32.88,32.88,32.88,37.54,1010,55,1010,1001,10000,1.65,245,101.2338,14.2773,324.69,0.96,7.21,58.28,4.09,7.42,12.03,3
